user_id,age,city,total_income,rent_spending,food_spending,transport_spending,shopping_spending,entertainment_spending,current_savings,risk_profile,goal_amount,goal_months
1036,18,Can Tho,6000000,605999,2554571,852883,752171,380651,853722,Tăng trưởng,50000000,37
1037,26,Da Nang,13500000,2285458,4498609,1197347,731120,1586640,3200822,An toàn,20000000,14
1038,21,Da Nang,8000000,1718676,2935117,824405,1047022,865164,609613,An toàn,150000000,11
1039,22,Can Tho,9200000,1258945,3502777,1286884,1066405,1078114,1006873,Tăng trưởng,20000000,57
1040,18,Da Nang,6000000,1069617,1516317,821336,673537,589017,1330173,Cân bằng,300000000,19
1041,27,Can Tho,12800000,1551259,3890603,1321721,722681,1348159,3965573,An toàn,100000000,8
1042,35,Can Tho,17500000,2659383,5440511,2598462,918250,1245541,4637851,An toàn,100000000,56
1043,27,Ho Chi Minh City,13800000,4022751,4529717,1113841,909404,1267259,1957025,Tăng trưởng,150000000,57
1044,18,Ho Chi Minh City,6000000,1539068,1928570,561900,368930,248545,1352984,Cân bằng,200000000,51
1045,20,Hanoi,7400000,2189907,1980002,541532,740300,380223,1568032,Cân bằng,300000000,46
1046,28,Can Tho,12900000,1911793,4443567,1558158,590491,844701,3551286,Cân bằng,50000000,13
1047,25,Hai Phong,12200000,2233367,3852813,1787563,1370208,863105,2092941,Tăng trưởng,300000000,27
1048,18,Hai Phong,6000000,1131901,1999941,811553,781268,294306,981027,Cân bằng,20000000,34
1049,22,Hanoi,8800000,1883383,2546276,991753,569658,374531,2434395,Cân bằng,200000000,23
1050,34,Can Tho,17900000,3099929,5964956,1664100,1128730,1261360,4780922,Tăng trưởng,20000000,9
1051,32,Ho Chi Minh City,17800000,5553326,5571624,1976346,1685753,1065351,1947597,Tăng trưởng,50000000,37
1052,28,Da Nang,12700000,2552985,4982779,1594797,1907515,867040,794881,Tăng trưởng,150000000,28
1053,31,Can Tho,16500000,2945344,4195068,2001679,2650202,1052147,3655557,Cân bằng,150000000,46
1054,24,Hai Phong,10200000,1588636,2757951,1274452,1015970,1051077,2511911,An toàn,20000000,58
1055,23,Hanoi,10500000,2841879,2834436,1531479,547997,475594,2268613,An toàn,50000000,21
1056,33,Hanoi,19200000,5580829,4141250,2235561,1849215,1004768,4388375,Cân bằng,100000000,50
1057,25,Da Nang,12700000,2941183,4148792,1620032,1613682,879441,1496866,Tăng trưởng,50000000,43
1058,34,Da Nang,17200000,3617427,4079462,1701628,841780,1096346,5863354,An toàn,150000000,22
1059,33,Da Nang,17200000,3972945,6048274,1951230,1926940,1770555,1530053,Cân bằng,50000000,33
1060,26,Can Tho,12400000,2090399,3931361,1637065,1316069,1448464,1976639,Cân bằng,20000000,44
1061,25,Ho Chi Minh City,11600000,3120245,3603447,1408522,1617031,1060917,789835,Tăng trưởng,150000000,43
1062,34,Hai Phong,16700000,3771643,4908133,1668633,2405471,930685,3015432,Cân bằng,20000000,46
1063,34,Hanoi,19000000,3959021,5575138,2111459,2891978,2045890,2416510,Tăng trưởng,50000000,39
1064,31,Da Nang,16400000,3700076,5216874,1949380,1534222,1191296,2808148,An toàn,150000000,45
1065,25,Da Nang,12400000,2318828,3543678,1250057,1193394,1219636,2874404,Cân bằng,50000000,55
1066,35,Ho Chi Minh City,20100000,6460060,5219012,1750311,1152932,1274554,4243129,Tăng trưởng,150000000,54
1067,21,Hai Phong,8000000,1822910,2845063,1191543,1187056,451582,501842,Tăng trưởng,300000000,27
1068,30,Hai Phong,16000000,3088133,3874537,2277450,1603327,987486,4169065,An toàn,300000000,15
1069,22,Can Tho,9600000,1155032,3807163,1218726,499230,1172273,1747573,An toàn,100000000,47
1070,32,Can Tho,16700000,3338937,5874386,1995724,1399961,755738,3335250,An toàn,50000000,43
1071,28,Ho Chi Minh City,12800000,4395611,3040532,1484601,979041,748207,2152005,Tăng trưởng,150000000,12
1072,24,Hai Phong,11500000,2226301,3509681,1649045,1705473,615459,1794038,An toàn,50000000,46
1073,27,Hanoi,13600000,3957873,3089189,1121886,1372783,1377931,2680335,An toàn,200000000,35
1074,28,Da Nang,14100000,3116881,4443471,1909544,1134240,1226919,2268942,An toàn,150000000,15
1075,34,Da Nang,18700000,3712956,7116161,1620661,1523769,850456,3875995,Tăng trưởng,20000000,51
1076,26,Da Nang,11900000,1930210,4259876,1548895,654454,1086560,2420002,Cân bằng,50000000,18
1077,19,Hai Phong,6700000,906187,2580924,739447,581258,386089,1506092,An toàn,200000000,55
1078,33,Hai Phong,17000000,3579689,4971331,1621097,918752,730651,5178477,Cân bằng,100000000,60
1079,29,Hai Phong,13500000,2400399,4423790,1446966,2080685,1411267,1736889,Cân bằng,20000000,23
1080,32,Hanoi,16000000,4097783,4912713,1282440,1597879,973583,3135600,Cân bằng,200000000,42
1081,32,Da Nang,16900000,3692854,6202493,1374228,2012125,774132,2844165,Cân bằng,100000000,42
1082,23,Ho Chi Minh City,9300000,2880831,2821255,920111,902344,481237,1294218,Cân bằng,200000000,10
1083,26,Hai Phong,13000000,2634662,3942137,1127476,1764891,1422397,2108433,Tăng trưởng,100000000,13
1084,18,Hai Phong,6000000,858637,2312799,586607,641260,501726,1098969,An toàn,20000000,53
1085,30,Hai Phong,16800000,3358690,5226347,1648747,1775825,773287,4017101,Cân bằng,200000000,58
1086,33,Hanoi,19600000,5067852,5852551,2084738,1980236,1081826,3532794,Cân bằng,300000000,38
1087,32,Da Nang,19100000,3704922,5649686,1766880,1316226,2155318,4506966,Cân bằng,50000000,16
1088,31,Da Nang,17200000,4281706,4394970,2341608,825224,867242,4489247,Cân bằng,300000000,27
1089,21,Hai Phong,8300000,1579932,2612275,829746,348878,918601,2010565,Tăng trưởng,300000000,28
1090,30,Hai Phong,17200000,2550743,4826682,2662247,2739236,1256493,3164596,Cân bằng,200000000,36
1091,23,Hanoi,9300000,1986846,2281526,1275488,1404586,400756,1950796,An toàn,100000000,12
1092,20,Da Nang,7300000,1117069,2191192,1217931,956554,836564,980687,Cân bằng,100000000,16
1093,18,Ho Chi Minh City,6000000,1991715,1459109,458305,528485,300548,1261836,Tăng trưởng,300000000,52
1094,20,Ho Chi Minh City,7700000,2209780,1866073,875687,829446,681833,1237179,An toàn,20000000,9
1095,19,Can Tho,6900000,1305298,2183958,963363,872505,633486,941387,Cân bằng,100000000,50
1096,30,Ho Chi Minh City,15400000,4375301,4998268,2141025,2169469,1548023,167910,Tăng trưởng,200000000,11
1097,21,Hai Phong,8000000,1622588,2009269,668262,1032308,783938,1883632,Tăng trưởng,50000000,60
1098,20,Hanoi,7700000,1559386,2674447,882251,929421,800337,854155,Tăng trưởng,20000000,39
1099,25,Hanoi,11400000,2604496,3118310,1044395,715104,883976,3033717,Cân bằng,100000000,19
1100,23,Ho Chi Minh City,10600000,3055937,2738631,1079524,1477627,796477,1451801,Tăng trưởng,150000000,59
1101,23,Can Tho,9900000,1431466,3710289,1125796,560312,823975,2248158,An toàn,20000000,38
1102,29,Can Tho,13400000,1547193,5561024,1217973,1121154,769483,3183169,Tăng trưởng,100000000,17
1103,31,Hanoi,14700000,3997397,4025027,1377776,1550771,743904,3005121,Tăng trưởng,150000000,47
1104,21,Ho Chi Minh City,8200000,2235133,1830524,692816,460648,657694,2323181,Tăng trưởng,50000000,35
1105,35,Da Nang,22200000,5268650,5846150,2085918,1392347,2266760,5340172,An toàn,200000000,60
1106,26,Can Tho,11500000,2211151,3044634,1644157,500146,595572,3504338,Tăng trưởng,300000000,20
1107,28,Hai Phong,13000000,2006463,4257569,1365836,835348,1175321,3359461,Tăng trưởng,300000000,6
1108,19,Hanoi,6700000,1716944,2314188,826270,422612,492797,927186,Tăng trưởng,200000000,32
1109,21,Can Tho,8400000,1371893,2454263,710960,499877,767590,2595414,An toàn,50000000,25
1110,19,Hai Phong,6700000,1516194,2284691,872667,902535,766026,357885,Tăng trưởng,150000000,59
1111,30,Hai Phong,16500000,3003808,6157549,1425495,2151585,1996107,1765453,An toàn,150000000,37
1112,28,Can Tho,13300000,1466485,3715328,2003769,1465025,1470553,3178836,An toàn,20000000,20
1113,20,Ho Chi Minh City,7500000,2027974,1841374,606264,808971,288657,1926757,Cân bằng,150000000,42
1114,34,Da Nang,17100000,3554051,5484665,2623185,1764887,1269290,2403920,Tăng trưởng,100000000,37
1115,30,Da Nang,16200000,3912166,4578933,1303053,2302825,746797,3356223,An toàn,200000000,19
1116,20,Ho Chi Minh City,7300000,1941101,2500981,947783,787302,429698,693132,Tăng trưởng,200000000,15
1117,25,Hai Phong,11800000,1821273,4753093,1686441,1829846,567991,1141353,An toàn,200000000,53
1118,18,Can Tho,6000000,838773,1889950,939835,663889,619080,1048470,An toàn,20000000,15
1119,20,Ho Chi Minh City,7600000,2051326,1856105,925075,1069870,733327,964293,Tăng trưởng,50000000,27
1120,33,Hanoi,17500000,5185684,5497951,2180556,1244867,1153702,2237236,Tăng trưởng,20000000,19
1121,24,Hai Phong,11200000,1790390,4644541,1751627,1133319,1069126,810993,An toàn,200000000,54
1122,35,Hanoi,18600000,4937288,5981355,1856448,2176910,2000609,1647387,Tăng trưởng,50000000,37
1123,34,Da Nang,16500000,3531097,5400795,1665983,2332367,1817599,1752156,An toàn,50000000,15
1124,30,Da Nang,15700000,3264865,5482635,1360702,1850284,1424593,2316918,Tăng trưởng,200000000,42
1125,32,Da Nang,18100000,4178003,4775941,2344270,2161385,1354994,3285403,Tăng trưởng,200000000,37
1126,31,Da Nang,14600000,3022988,4923630,1957742,579177,1275379,2841081,Tăng trưởng,50000000,59
1127,31,Hanoi,17400000,4279718,4734141,1394627,2112985,734838,4143688,Cân bằng,100000000,28
1128,34,Ho Chi Minh City,20600000,5923762,6285754,1791090,1459944,1182330,3957116,Tăng trưởng,100000000,57
1129,33,Hai Phong,18000000,2855763,6007137,2309532,1877391,1344575,3605599,An toàn,300000000,38
1130,29,Can Tho,13100000,2315565,3999769,2048162,1624813,749084,2362604,Tăng trưởng,20000000,49
1131,19,Da Nang,6700000,1488871,2004043,557295,1019602,320262,1309924,An toàn,200000000,55
1132,25,Hai Phong,10800000,1878945,2943788,1718069,726737,841039,2691420,Cân bằng,300000000,55
1133,32,Can Tho,17500000,3479334,6593735,1627547,1318375,2028097,2452908,Cân bằng,200000000,15
1134,32,Da Nang,17400000,3758593,4317232,2303931,2173068,710618,4136555,An toàn,100000000,26
1135,29,Hai Phong,16400000,2343438,5921969,1851280,2086285,849335,3347691,Tăng trưởng,20000000,14
1136,23,Hanoi,9600000,2013110,3319185,886199,506923,919080,1955499,Tăng trưởng,50000000,12
1137,21,Da Nang,8100000,1475422,3095653,889478,1079907,335159,1224378,Tăng trưởng,100000000,11
1138,35,Hanoi,22000000,5937291,5085634,2178290,2690755,2405964,3702063,Tăng trưởng,200000000,45
1139,33,Hai Phong,16100000,2915423,4983573,2007791,1955003,768048,3470158,Tăng trưởng,50000000,7
1140,18,Hanoi,6000000,1742485,1345436,764877,717286,591035,838879,Tăng trưởng,300000000,55
1141,31,Hanoi,16300000,3296484,4786578,2121446,1271540,1865918,2958031,Cân bằng,100000000,12
1142,30,Da Nang,16700000,3233725,6069370,2315964,1401331,708411,2971196,Cân bằng,100000000,42
1143,30,Hanoi,14500000,4242743,3152955,1328445,606545,877294,4292014,Cân bằng,50000000,42
1144,20,Ho Chi Minh City,7600000,2637847,1673853,942985,870154,277958,1197201,Tăng trưởng,200000000,50
1145,32,Can Tho,19300000,2878596,8137272,3278537,2849831,1735266,420495,Tăng trưởng,50000000,44
1146,18,Hai Phong,6000000,1118698,1969964,646242,519744,665449,1079899,Cân bằng,150000000,38
1147,25,Hai Phong,12000000,2194369,3645676,1650939,895560,1139491,2473963,Cân bằng,150000000,6
1148,24,Da Nang,10700000,2414586,3604404,1110789,1484042,574141,1512035,Cân bằng,150000000,11
1149,27,Can Tho,12000000,2136898,4906830,1853029,1755645,1347596,0,Tăng trưởng,50000000,16
1150,32,Hanoi,15200000,3712744,5204209,1585631,1549380,1585144,1562889,An toàn,150000000,38
1151,26,Ho Chi Minh City,13400000,4130952,2807469,1025811,1809151,1379554,2247059,Tăng trưởng,50000000,58
1152,35,Da Nang,21900000,4818887,5680994,2982731,2078406,2402031,3936948,An toàn,50000000,46
1153,33,Can Tho,19900000,2798300,5691971,2068072,862666,2039332,6439656,An toàn,200000000,50
1154,18,Can Tho,6000000,1114537,2093126,493767,395426,266218,1636923,An toàn,200000000,31
1155,29,Hanoi,14400000,3173962,3746340,1371845,1316627,1305276,3485947,An toàn,50000000,59
1156,29,Hai Phong,14100000,2999631,3732882,1300247,2182810,1429368,2455059,An toàn,20000000,23
1157,20,Da Nang,7900000,1233670,2324233,1241365,342305,879397,1879027,Tăng trưởng,20000000,14
1158,32,Hanoi,19200000,5059178,5722557,2083550,1084288,1083160,4167265,An toàn,20000000,40
1159,18,Hai Phong,6000000,885546,2433772,868887,487332,317449,1007011,An toàn,200000000,37
1160,27,Hai Phong,13100000,2596320,3578194,1204717,670852,821243,4228671,An toàn,300000000,10
1161,19,Hanoi,6900000,1450789,1941787,771474,901948,415471,1418527,Cân bằng,20000000,21
1162,28,Hanoi,15500000,4094403,5556993,1551358,1080009,1088894,2128339,An toàn,50000000,16
1163,29,Da Nang,15000000,2571844,4437525,1718619,805894,1677211,3788904,An toàn,300000000,47
1164,19,Can Tho,6800000,909772,2480612,601530,335539,445081,2027465,Cân bằng,100000000,29
1165,35,Da Nang,21000000,4182438,6886596,2245172,3076317,2095302,2514172,An toàn,200000000,52
1166,26,Hai Phong,12300000,1634966,3527483,1431837,1788288,1026516,2890907,An toàn,150000000,51
1167,19,Hai Phong,6800000,1410397,1966923,609467,484558,439567,1889085,An toàn,150000000,30
1168,34,Ho Chi Minh City,18300000,6341268,4259816,1897267,678515,1119561,4003569,An toàn,50000000,17
1169,33,Ho Chi Minh City,17600000,4690234,4458390,2367928,1641050,1002053,3440342,An toàn,50000000,6
1170,34,Ho Chi Minh City,19100000,6571040,5466150,1754266,2479662,831684,1997194,An toàn,300000000,31
1171,24,Hai Phong,10000000,1437713,2625719,1272760,760190,840178,3063437,Tăng trưởng,300000000,16
1172,33,Da Nang,19300000,3986288,7255398,2528385,1689126,1453946,2386855,An toàn,200000000,28
1173,27,Da Nang,13500000,3052336,3916309,1615709,974657,576240,3364745,An toàn,150000000,22
1174,34,Hai Phong,16700000,3422697,6358136,2021666,1968457,1061955,1867086,Cân bằng,150000000,45
1175,34,Hanoi,19300000,5653145,4549043,1636526,1223914,756998,5480371,Tăng trưởng,100000000,42
1176,32,Can Tho,15000000,2962289,4195577,2085741,1652600,1256658,2847132,An toàn,150000000,42
1177,19,Hai Phong,6800000,1272644,1756379,642011,415857,339230,2373876,An toàn,200000000,52
1178,24,Ho Chi Minh City,9900000,3279906,2204746,1169359,331659,584738,2329590,Cân bằng,200000000,60
1179,33,Hanoi,16100000,4285778,3826084,2114577,813180,1140063,3920315,Cân bằng,300000000,17
1180,25,Hanoi,11000000,3034312,2533374,1084749,1383734,779101,2184727,Cân bằng,150000000,51
1181,35,Da Nang,21200000,5099854,7641000,1809616,3082905,1437718,2128904,Cân bằng,300000000,51
1182,31,Can Tho,16500000,2625773,5071910,1483690,1292907,1489262,4536456,Tăng trưởng,200000000,50
1183,22,Da Nang,9500000,1915630,3768394,1066742,855782,943596,949854,Cân bằng,300000000,37
1184,32,Hai Phong,18100000,2501390,7472141,2713087,2184236,1209788,2019355,Cân bằng,300000000,10
1185,28,Da Nang,14600000,3113516,4552219,2280499,1319898,1173046,2160819,Tăng trưởng,300000000,39
1186,27,Can Tho,14300000,1944573,5451557,1814677,2389813,1506545,1192831,Tăng trưởng,50000000,38
1187,19,Hanoi,6700000,1771633,1921849,932843,579507,453811,1040354,An toàn,200000000,11
1188,27,Hai Phong,12300000,2789979,2898852,1388409,1018321,542759,3661678,Tăng trưởng,300000000,18
1189,20,Hanoi,7700000,1761944,1991451,854175,1055208,350171,1687048,Tăng trưởng,100000000,9
1190,18,Hanoi,6000000,1346961,1741933,594602,520545,263223,1532733,Cân bằng,200000000,58
1191,22,Da Nang,8900000,1507725,2938849,1245556,563062,927646,1717158,Cân bằng,150000000,24
1192,35,Hanoi,22100000,5561805,7403892,2052348,1859980,1418697,3803274,An toàn,100000000,59
1193,35,Ho Chi Minh City,17400000,5773751,5557646,1188836,1961193,1486062,1432509,Tăng trưởng,50000000,43
1194,29,Ho Chi Minh City,16400000,4127645,6065370,2084979,1132864,994304,1994834,An toàn,100000000,19
1195,20,Ho Chi Minh City,7400000,2085853,2274369,1055889,328105,650785,1004995,An toàn,20000000,29
1196,34,Hai Phong,18600000,3098154,4771978,2526905,2276200,1481780,4444979,Cân bằng,50000000,57
1197,21,Da Nang,8200000,1618743,2135013,966050,626587,633312,2220293,Cân bằng,200000000,18
1198,31,Da Nang,15600000,2546386,5069922,1713665,2594303,1805286,1870434,An toàn,50000000,28
1199,32,Da Nang,16900000,3819398,4623001,2007016,1373613,1729198,3347771,An toàn,100000000,22
1200,29,Ho Chi Minh City,13800000,4243309,3999309,1527088,1056893,1136985,1836413,Cân bằng,20000000,29
1201,27,Ho Chi Minh City,14200000,3783769,4045149,1994241,1397435,1422654,1556749,An toàn,200000000,38
1202,24,Hai Phong,10600000,1807328,3585523,1003805,1179643,998680,2025019,An toàn,150000000,15
1203,29,Can Tho,15300000,2221670,5973967,1750279,1647156,801318,2905608,Tăng trưởng,100000000,17
1204,34,Hai Phong,17300000,3055905,6503710,1871554,1237012,1703589,2928227,Cân bằng,20000000,29
1205,32,Da Nang,15700000,3775379,4393848,1311514,1590245,1726673,2902338,Tăng trưởng,20000000,50
1206,23,Hanoi,9700000,1983206,3147520,1044297,555599,1136606,1832769,An toàn,50000000,22
1207,28,Ho Chi Minh City,13200000,3561101,3227571,1543310,523325,1207434,3137255,An toàn,100000000,42
1208,32,Ho Chi Minh City,15000000,4956933,3067499,1327487,1137722,971711,3538645,Cân bằng,100000000,33
1209,20,Ho Chi Minh City,7500000,2579378,2278629,703451,818180,320269,800091,An toàn,100000000,8
1210,34,Can Tho,17100000,2374980,4858254,2733950,1182368,1707526,4242919,Tăng trưởng,300000000,44
1211,18,Ho Chi Minh City,6000000,1593355,1588669,537457,528254,582444,1169817,An toàn,20000000,36
1212,19,Da Nang,6800000,1291036,2605728,1087176,1083293,429029,303735,Cân bằng,200000000,32
1213,18,Ho Chi Minh City,6000000,1788821,1797428,532196,338036,326010,1217506,Cân bằng,20000000,60
1214,33,Ho Chi Minh City,18900000,5086787,4984268,1923071,715206,1389705,4800961,Cân bằng,300000000,8
1215,24,Ho Chi Minh City,10000000,2697254,3232607,1069769,966187,955515,1078666,Tăng trưởng,300000000,60
1216,22,Can Tho,9300000,1005902,3544863,975140,1650645,1061745,1061702,Tăng trưởng,20000000,52
1217,26,Ho Chi Minh City,11700000,3378576,3009921,1234318,1663252,1143266,1270663,Cân bằng,200000000,49
1218,26,Ho Chi Minh City,11600000,4026234,3414957,1041769,1424782,572953,1119302,Tăng trưởng,100000000,54
1219,28,Da Nang,12500000,2806626,3925818,1327173,1506391,532354,2401635,Tăng trưởng,100000000,57
1220,35,Da Nang,21900000,3299098,6095928,3512915,3177282,2029024,3785750,Tăng trưởng,100000000,17
1221,24,Da Nang,10400000,1657116,2876811,910923,774412,851003,3329732,An toàn,150000000,9
1222,30,Hanoi,13900000,3520315,4372281,1676768,1074861,524482,2731291,Cân bằng,200000000,24
1223,34,Ho Chi Minh City,16600000,4175749,4741018,1733818,1779852,1602870,2566692,Cân bằng,20000000,58
1224,22,Hanoi,9000000,2488236,2931574,1052860,1006748,351313,1169266,An toàn,100000000,39
1225,18,Can Tho,6000000,851032,1755135,549424,647781,639095,1557530,An toàn,100000000,43
1226,22,Da Nang,9700000,1843684,3613213,903266,1242572,787179,1310082,An toàn,200000000,35
1227,30,Can Tho,17400000,3358905,6301831,2448018,2605484,1871464,814296,Cân bằng,300000000,13
1228,34,Ho Chi Minh City,19000000,5036030,6643292,2460484,1829982,808517,2221691,An toàn,150000000,35
1229,24,Hanoi,10900000,3086065,2887773,1369603,1417592,750807,1388158,Tăng trưởng,150000000,20
1230,30,Ho Chi Minh City,14300000,4100329,4307297,1641287,1225489,1226739,1798856,Tăng trưởng,100000000,46
1231,35,Ho Chi Minh City,21400000,6613661,5524863,2876664,1953783,1813416,2617610,An toàn,100000000,52
1232,21,Can Tho,8000000,1301403,2360600,911957,589635,613450,2222953,Cân bằng,20000000,52
1233,24,Hanoi,11000000,3237575,2699583,1523047,1489062,847195,1203535,Cân bằng,20000000,53
1234,22,Ho Chi Minh City,8900000,3056865,2848455,1052090,1059018,665129,218440,Cân bằng,100000000,40
1235,22,Ho Chi Minh City,8700000,2841066,2421745,1033269,881365,667197,855354,Cân bằng,300000000,23
1236,18,Hanoi,6000000,1740414,2018519,705666,329795,494766,710837,An toàn,50000000,19
1237,21,Can Tho,8100000,1051083,2567682,922834,1371006,951950,1235441,An toàn,100000000,19
1238,19,Hanoi,6700000,1642653,2017567,694172,436942,400081,1508582,Cân bằng,20000000,57
1239,20,Da Nang,7800000,1872964,2267050,663710,491966,565872,1938434,Cân bằng,20000000,13
1240,25,Can Tho,10800000,1229628,3923967,1023847,980132,702479,2939943,Tăng trưởng,50000000,18
1241,19,Hai Phong,6800000,1134269,2478448,862432,662868,650532,1011448,Tăng trưởng,300000000,23
1242,34,Ho Chi Minh City,16900000,5838667,4572877,2212083,1404391,1010407,1861572,Cân bằng,150000000,37
1243,33,Da Nang,19400000,4829728,5030863,2770386,796258,1235484,4737277,An toàn,100000000,37
1244,18,Hai Phong,6000000,1163431,2109253,504071,394990,383767,1444485,An toàn,50000000,48
1245,34,Can Tho,20700000,3544331,6719186,3396903,2266657,2427024,2345895,Cân bằng,50000000,57
1246,29,Da Nang,14300000,3068175,5540345,1985653,2051351,1369937,284537,Cân bằng,50000000,34
1247,27,Can Tho,14500000,2272051,4952887,2201571,2423837,1412022,1237629,An toàn,20000000,54
1248,28,Hai Phong,13700000,2282529,3455452,1862574,702250,805453,4591739,An toàn,20000000,14
1249,33,Can Tho,17000000,2188080,5941710,1895132,792103,1265768,4917204,Cân bằng,300000000,17
1250,30,Da Nang,16000000,3210001,4198468,1783831,1091626,1820002,3896069,Cân bằng,200000000,53
1251,25,Ho Chi Minh City,11700000,3972785,2958744,1253034,867928,515208,2132297,An toàn,50000000,50
1252,19,Ho Chi Minh City,6900000,1951442,1960634,549065,397121,631584,1410151,Tăng trưởng,50000000,60
1253,29,Ho Chi Minh City,13700000,4261494,2990643,1373480,658954,819511,3595916,Tăng trưởng,150000000,56
1254,29,Ho Chi Minh City,13800000,4523046,4136023,1611702,1359048,839710,1330468,Cân bằng,50000000,25
1255,20,Ho Chi Minh City,7600000,2623950,1871057,886746,265566,355881,1596797,Tăng trưởng,50000000,55
1256,30,Hai Phong,15000000,2671907,4997433,1555885,1732728,1256839,2785206,Tăng trưởng,50000000,13
1257,25,Ho Chi Minh City,12100000,4119650,2881860,1562409,697600,718184,2120294,An toàn,20000000,33
1258,34,Hai Phong,17800000,2802273,4662401,2042126,2699424,1639807,3953965,Tăng trưởng,50000000,49
1259,28,Hai Phong,12500000,1978173,3443823,1226000,1600738,1276542,2974720,Cân bằng,20000000,47
1260,34,Hai Phong,19800000,4264853,5781053,1692366,1439343,1920272,4702109,Tăng trưởng,150000000,30
1261,25,Ho Chi Minh City,12600000,4139964,2997610,1611126,925780,1183419,1742099,An toàn,20000000,10
1262,28,Ho Chi Minh City,13800000,3885216,4152389,1401070,698441,880680,2782201,Tăng trưởng,200000000,50
1263,19,Can Tho,6800000,1060521,2228983,672906,597487,570261,1669839,Tăng trưởng,150000000,52
1264,29,Da Nang,14600000,2647799,5767442,1646455,1726059,1075967,1736275,Cân bằng,150000000,49
1265,21,Can Tho,8300000,1652710,3053850,907673,616706,637164,1431894,Tăng trưởng,300000000,37
